Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,4,4,3,4,5
Item-02,5,4,4,5,4
Item-03,3,2,3,4,3
Item-04,4,4,4,4,5
Item-05,4,3,2,4,4
Item-06,3,4,5,5,4
Item-07,5,5,5,5,5
Item-08,5,3,3,4,5
Item-09,5,4,3,4,5
Item-10,4,4,4,5,4
Item-11,4,4,3,4,4
Item-12,3,2,3,4,3
Item-13,3,4,4,4,5
Item-14,4,3,2,4,4
Item-15,3,4,5,5,4
Item-16,4,5,3,4,5
Item-17,4,3,3,5,5
Item-18,5,5,5,5,5
Item-19,5,4,3,4,5
Item-20,4,5,5,4,4
Item-21,5,4,5,5,5
Item-22,4,3,2,4,4
Item-23,4,5,4,5,4
Item-24,4,4,5,5,5
Item-25,5,3,4,5,4
Item-26,5,4,5,4,5
Item-27,3,2,3,4,3
Item-28,3,3,4,5,5
Item-29,5,3,4,4,4
Item-30,5,5,4,5,4
Item-31,5,5,5,5,5
Item-32,5,3,4,5,5
Item-33,3,4,4,5,5
Item-34,3,2,3,4,3
Item-35,4,4,3,5,5
Item-36,5,4,3,5,5
Item-37,3,4,3,5,5
Item-38,4,3,2,4,4
Item-39,5,4,5,5,4
Item-40,3,4,4,4,4
Item-41,5,5,5,5,5
Item-42,4,4,5,4,5
Item-43,3,4,4,5,4
Item-44,4,5,5,5,4
Item-45,3,2,3,4,3
Item-46,3,5,3,5,4
Item-47,5,5,3,5,5
Item-48,5,3,4,4,5
Item-49,5,5,5,5,5
Item-50,4,4,4,5,5
Item-51,3,5,4,4,4
